Designator,Mid X,Mid Y,Rotation,Layer
D181,71.375,-51.125,225.0,top
D182,71.375,-55.625,225.0,top
D183,71.375,-60.125,225.0,top
D184,71.375,-64.625,225.0,top
D185,71.375,-69.125,225.0,top
D186,71.375,-73.625,225.0,top
D187,71.375,-78.125,225.0,top
D188,71.375,-82.625,225.0,top
D189,71.375,-87.125,225.0,top
D19,55.625,-55.625,225.0,top
D190,71.375,-91.625,225.0,top
D191,75.875,-91.625,225.0,top
D192,75.875,-87.125,225.0,top
D193,75.875,-82.625,225.0,top
D194,75.875,-78.125,225.0,top
D195,75.875,-73.625,225.0,top
D196,75.875,-69.125,225.0,top
D197,75.875,-64.625,225.0,top
D198,75.875,-60.125,225.0,top
D199,75.875,-55.625,225.0,top
D2,51.125,-55.625,225.0,top
D20,55.625,-51.125,225.0,top
D200,75.875,-51.125,225.0,top
D201,69.125,-53.375,225.0,top
D202,69.125,-57.875,225.0,top
D203,69.125,-62.375,225.0,top
D204,69.125,-66.875,225.0,top
D205,69.125,-71.375,225.0,top
D206,69.125,-75.875,225.0,top
D207,69.125,-80.375,225.0,top
D208,69.125,-84.875,225.0,top
D209,69.125,-89.375,225.0,top
D21,53.375,-51.125,225.0,top
D210,69.125,-93.875,225.0,top
D211,73.625,-93.875,225.0,top
D212,73.625,-89.375,225.0,top
D213,73.625,-84.875,225.0,top
D214,73.625,-80.375,225.0,top
D215,73.625,-75.875,225.0,top
D216,73.625,-71.375,225.0,top
D217,73.625,-66.875,225.0,top
D218,73.625,-62.375,225.0,top
D219,73.625,-57.875,225.0,top
D22,53.375,-55.625,225.0,top
D220,73.625,-53.375,225.0,top
D221,71.375,-53.375,225.0,top
D222,71.375,-57.875,225.0,top
D223,71.375,-62.375,225.0,top
D224,71.375,-66.875,225.0,top
D225,71.375,-71.375,225.0,top
D226,71.375,-75.875,225.0,top
D227,71.375,-80.375,225.0,top
D228,71.375,-84.875,225.0,top
D229,71.375,-89.375,225.0,top
D23,53.375,-60.125,225.0,top
D230,71.375,-93.875,225.0,top
D231,75.875,-93.875,225.0,top
D232,75.875,-89.375,225.0,top
D233,75.875,-84.875,225.0,top
D234,75.875,-80.375,225.0,top
D235,75.875,-75.875,225.0,top
D236,75.875,-71.375,225.0,top
D237,75.875,-66.875,225.0,top
D238,75.875,-62.375,225.0,top
D239,75.875,-57.875,225.0,top
D24,53.375,-64.625,225.0,top
D240,75.875,-53.375,225.0,top
D241,78.125,-51.125,225.0,top
D242,78.125,-55.625,225.0,top
D243,78.125,-60.125,225.0,top
D244,78.125,-64.625,225.0,top
D245,78.125,-69.125,225.0,top
D246,78.125,-73.625,225.0,top
D247,78.125,-78.125,225.0,top
D248,78.125,-82.625,225.0,top
D249,78.125,-87.125,225.0,top
D25,53.375,-69.125,225.0,top
D250,78.125,-91.625,225.0,top
D251,82.625,-91.625,225.0,top
D252,82.625,-87.125,225.0,top
D253,82.625,-82.625,225.0,top
D254,82.625,-78.125,225.0,top
D255,82.625,-73.625,225.0,top
D256,82.625,-69.125,225.0,top
D257,82.625,-64.625,225.0,top
D258,82.625,-60.125,225.0,top
D259,82.625,-55.625,225.0,top
D26,53.375,-73.625,225.0,top
D260,82.625,-51.125,225.0,top
D261,80.375,-51.125,225.0,top
D262,80.375,-55.625,225.0,top
D263,80.375,-60.125,225.0,top
D264,80.375,-64.625,225.0,top
D265,80.375,-69.125,225.0,top
D266,80.375,-73.625,225.0,top
D267,80.375,-78.125,225.0,top
D268,80.375,-82.625,225.0,top
D269,80.375,-87.125,225.0,top
D27,53.375,-78.125,225.0,top
D270,80.375,-91.625,225.0,top
D271,84.875,-91.625,225.0,top
D272,84.875,-87.125,225.0,top
D273,84.875,-82.625,225.0,top
D274,84.875,-78.125,225.0,top
D275,84.875,-73.625,225.0,top
D276,84.875,-69.125,225.0,top
D277,84.875,-64.625,225.0,top
D278,84.875,-60.125,225.0,top
D279,84.875,-55.625,225.0,top
D28,53.375,-82.625,225.0,top
D280,84.875,-51.125,225.0,top
D281,78.125,-53.375,225.0,top
D282,78.125,-57.875,225.0,top
D283,78.125,-62.375,225.0,top
D284,78.125,-66.875,225.0,top
D285,78.125,-71.375,225.0,top
D286,78.125,-75.875,225.0,top
D287,78.125,-80.375,225.0,top
D288,78.125,-84.875,225.0,top
D289,78.125,-89.375,225.0,top
D29,53.375,-87.125,225.0,top
D290,78.125,-93.875,225.0,top
D291,82.625,-93.875,225.0,top
D292,82.625,-89.375,225.0,top
D293,82.625,-84.875,225.0,top
D294,82.625,-80.375,225.0,top
D295,82.625,-75.875,225.0,top
D296,82.625,-71.375,225.0,top
D297,82.625,-66.875,225.0,top
D298,82.625,-62.375,225.0,top
D299,82.625,-57.875,225.0,top
D3,51.125,-60.125,225.0,top
D30,53.375,-91.625,225.0,top
D300,82.625,-53.375,225.0,top
D301,80.375,-53.375,225.0,top
D302,80.375,-57.875,225.0,top
D303,80.375,-62.375,225.0,top
D304,80.375,-66.875,225.0,top
D305,80.375,-71.375,225.0,top
D306,80.375,-75.875,225.0,top
D307,80.375,-80.375,225.0,top
D308,80.375,-84.875,225.0,top
D309,80.375,-89.375,225.0,top
D31,57.875,-91.625,225.0,top
D310,80.375,-93.875,225.0,top
D311,84.875,-93.875,225.0,top
D312,84.875,-89.375,225.0,top
D313,84.875,-84.875,225.0,top
D314,84.875,-80.375,225.0,top
D315,84.875,-75.875,225.0,top
D316,84.875,-71.375,225.0,top
D317,84.875,-66.875,225.0,top
D318,84.875,-62.375,225.0,top
D319,84.875,-57.875,225.0,top
D32,57.875,-87.125,225.0,top
D320,84.875,-53.375,225.0,top
D321,87.125,-51.125,225.0,top
D322,87.125,-55.625,225.0,top
D323,87.125,-60.125,225.0,top
D324,87.125,-64.625,225.0,top
D325,87.125,-69.125,225.0,top
D326,87.125,-73.625,225.0,top
D327,87.125,-78.125,225.0,top
D328,87.125,-82.625,225.0,top
D329,87.125,-87.125,225.0,top
D33,57.875,-82.625,225.0,top
D330,87.125,-91.625,225.0,top
D331,91.625,-91.625,225.0,top
D332,91.625,-87.125,225.0,top
D333,91.625,-82.625,225.0,top
D334,91.625,-78.125,225.0,top
D335,91.625,-73.625,225.0,top
D336,91.625,-69.125,225.0,top
D337,91.625,-64.625,225.0,top
D338,91.625,-60.125,225.0,top
D339,91.625,-55.625,225.0,top
D34,57.875,-78.125,225.0,top
D340,91.625,-51.125,225.0,top
D341,89.375,-51.125,225.0,top
D342,89.375,-55.625,225.0,top
D343,89.375,-60.125,225.0,top
D344,89.375,-64.625,225.0,top
D345,89.375,-69.125,225.0,top
D346,89.375,-73.625,225.0,top
D347,89.375,-78.125,225.0,top
D348,89.375,-82.625,225.0,top
D349,89.375,-87.125,225.0,top
D35,57.875,-73.625,225.0,top
D350,89.375,-91.625,225.0,top
D351,93.875,-91.625,225.0,top
D352,93.875,-87.125,225.0,top
D353,93.875,-82.625,225.0,top
D354,93.875,-78.125,225.0,top
D355,93.875,-73.625,225.0,top
D356,93.875,-69.125,225.0,top
D357,93.875,-64.625,225.0,top
D358,93.875,-60.125,225.0,top
D359,93.875,-55.625,225.0,top
D36,57.875,-69.125,225.0,top
D360,93.875,-51.125,225.0,top
D361,87.125,-53.375,225.0,top
D362,87.125,-57.875,225.0,top
D363,87.125,-62.375,225.0,top
D364,87.125,-66.875,225.0,top
D365,87.125,-71.375,225.0,top
D366,87.125,-75.875,225.0,top
D367,87.125,-80.375,225.0,top
D368,87.125,-84.875,225.0,top
D369,87.125,-89.375,225.0,top
D37,57.875,-64.625,225.0,top
D370,87.125,-93.875,225.0,top
D371,91.625,-93.875,225.0,top
D372,91.625,-89.375,225.0,top
D373,91.625,-84.875,225.0,top
D374,91.625,-80.375,225.0,top
D375,91.625,-75.875,225.0,top
D376,91.625,-71.375,225.0,top
D377,91.625,-66.875,225.0,top
D378,91.625,-62.375,225.0,top
D379,91.625,-57.875,225.0,top
D38,57.875,-60.125,225.0,top
D380,91.625,-53.375,225.0,top
D381,89.375,-53.375,225.0,top
D382,89.375,-57.875,225.0,top
D383,89.375,-62.375,225.0,top
D384,89.375,-66.875,225.0,top
D385,89.375,-71.375,225.0,top
D386,89.375,-75.875,225.0,top
D387,89.375,-80.375,225.0,top
D388,89.375,-84.875,225.0,top
D389,89.375,-89.375,225.0,top
D39,57.875,-55.625,225.0,top
D390,89.375,-93.875,225.0,top
D391,93.875,-93.875,225.0,top
D392,93.875,-89.375,225.0,top
D393,93.875,-84.875,225.0,top
D394,93.875,-80.375,225.0,top
D395,93.875,-75.875,225.0,top
D396,93.875,-71.375,225.0,top
D397,93.875,-66.875,225.0,top
D398,93.875,-62.375,225.0,top
D399,93.875,-57.875,225.0,top
D4,51.125,-64.625,225.0,top
D40,57.875,-51.125,225.0,top
D400,93.875,-53.375,225.0,top
D41,51.125,-53.375,225.0,top
D42,51.125,-57.875,225.0,top
D43,51.125,-62.375,225.0,top
D44,51.125,-66.875,225.0,top
D45,51.125,-71.375,225.0,top
D46,51.125,-75.875,225.0,top
D47,51.125,-80.375,225.0,top
D48,51.125,-84.875,225.0,top
D49,51.125,-89.375,225.0,top
D5,51.125,-69.125,225.0,top
D50,51.125,-93.875,225.0,top
D51,55.625,-93.875,225.0,top
D52,55.625,-89.375,225.0,top
D53,55.625,-84.875,225.0,top
D54,55.625,-80.375,225.0,top
D55,55.625,-75.875,225.0,top
D56,55.625,-71.375,225.0,top
D57,55.625,-66.875,225.0,top
D58,55.625,-62.375,225.0,top
D59,55.625,-57.875,225.0,top
D6,51.125,-73.625,225.0,top
D60,55.625,-53.375,225.0,top
D61,53.375,-53.375,225.0,top
D62,53.375,-57.875,225.0,top
D63,53.375,-62.375,225.0,top
D64,53.375,-66.875,225.0,top
D65,53.375,-71.375,225.0,top
D66,53.375,-75.875,225.0,top
D67,53.375,-80.375,225.0,top
D68,53.375,-84.875,225.0,top
D69,53.375,-89.375,225.0,top
D7,51.125,-78.125,225.0,top
D70,53.375,-93.875,225.0,top
D71,57.875,-93.875,225.0,top
D72,57.875,-89.375,225.0,top
D73,57.875,-84.875,225.0,top
D74,57.875,-80.375,225.0,top
D75,57.875,-75.875,225.0,top
D76,57.875,-71.375,225.0,top
D77,57.875,-66.875,225.0,top
D78,57.875,-62.375,225.0,top
D79,57.875,-57.875,225.0,top
D8,51.125,-82.625,225.0,top
D80,57.875,-53.375,225.0,top
D81,60.125,-51.125,225.0,top
D82,60.125,-55.625,225.0,top
D83,60.125,-60.125,225.0,top
D84,60.125,-64.625,225.0,top
D85,60.125,-69.125,225.0,top
D86,60.125,-73.625,225.0,top
D87,60.125,-78.125,225.0,top
D88,60.125,-82.625,225.0,top
D89,60.125,-87.125,225.0,top
D9,51.125,-87.125,225.0,top
D90,60.125,-91.625,225.0,top
D91,64.625,-91.625,225.0,top
D92,64.625,-87.125,225.0,top
D93,64.625,-82.625,225.0,top
D94,64.625,-78.125,225.0,top
D95,64.625,-73.625,225.0,top
D96,64.625,-69.125,225.0,top
D97,64.625,-64.625,225.0,top
D98,64.625,-60.125,225.0,top
D99,64.625,-55.625,225.0,top
J1,72.5,-91.5,180.0,bottom
J2,87.9,-90.135,180.0,bottom
J3,57.1,-90.135,180.0,bottom
J4,87.9,-53.9,180.0,bottom
J5,57.1,-53.9,180.0,bottom
L1,75.5,-85.025,180.0,bottom
R1,67.765,-88.07,0.0,bottom
R10,55.14,-87.53,90.0,bottom
R11,50.64,-87.515,90.0,bottom
R12,55.125,-83.34,90.0,bottom
R13,50.64,-83.325,90.0,bottom
R14,55.12,-79.145,90.0,bottom
R15,50.66,-79.155,90.0,bottom
R16,59.58,-74.975,90.0,bottom
